variable,group,criterion_theoretical_relevance,criterion_direct_link_to_rq,criterion_data_quality_variation,criterion_non_redundancy,priority
FWBscore,outcome,Yes,"RQ1,RQ3,RQ4",missing=0.08%; unique=77; keep (outcome),checked by variable-family design,critical
SAVEHABIT,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.31%; unique=6; keep (missing <= 15%),checked by variable-family design,high
SCFHORIZON,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.28%; unique=5; keep (missing <= 15%),checked by variable-family design,high
PROPPLAN_1,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; keep (missing <= 15%),checked by variable-family design,high
PROPPLAN_2,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; keep (missing <= 15%),checked by variable-family design,high
PROPPLAN_3,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; keep (missing <= 15%),checked by variable-family design,high
PROPPLAN_4,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; keep (missing <= 15%),checked by variable-family design,high
MANAGE1_1,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.19%; unique=5; keep (missing <= 15%),checked by variable-family design,high
MANAGE1_2,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.19%; unique=5; keep (missing <= 15%),checked by variable-family design,high
MANAGE1_3,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.17%; unique=5; keep (missing <= 15%),checked by variable-family design,high
MANAGE1_4,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.17%; unique=5; keep (missing <= 15%),checked by variable-family design,high
ACT1_1,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.38%; unique=5; keep (missing <= 15%),checked by variable-family design,high
ACT1_2,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.28%; unique=5; keep (missing <= 15%),checked by variable-family design,high
FINGOALS,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.19%; unique=2; keep (missing <= 15%),checked by variable-family design,high
GOALCONF,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.44%; unique=4; keep (missing <= 15%),checked by variable-family design,high
DISTRESS,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.77%; unique=5; keep (missing <= 15%),checked by variable-family design,high
ABSORBSHOCK,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.58%; unique=5; keep (missing <= 15%),checked by variable-family design,high
VOLATILITY,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.0%; unique=3; keep (missing <= 15%),checked by variable-family design,high
ENDSMEET,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.69%; unique=3; keep (missing <= 15%),checked by variable-family design,high
COVERCOSTS,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.91%; unique=4; keep (missing <= 15%),checked by variable-family design,high
MATHARDSHIP_1,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.42%; unique=3; keep (missing <= 15%),checked by variable-family design,high
MATHARDSHIP_2,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.42%; unique=3; keep (missing <= 15%),checked by variable-family design,high
MATHARDSHIP_3,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.41%; unique=3; keep (missing <= 15%),checked by variable-family design,high
MATHARDSHIP_4,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.42%; unique=3; keep (missing <= 15%),checked by variable-family design,high
MATHARDSHIP_5,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.39%; unique=3; keep (missing <= 15%),checked by variable-family design,high
MATHARDSHIP_6,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.44%; unique=3; keep (missing <= 15%),checked by variable-family design,high
SHOCKS_1,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_2,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_3,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_4,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_5,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_6,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_7,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_8,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_9,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_10,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
SHOCKS_11,major_life_events,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
PAREDUC,family_social_background,Yes,"RQ3,RQ4",missing=0.77%; unique=5; keep (missing <= 15%),checked by variable-family design,medium
FINSOC2_1,family_social_background,Yes,"RQ3,RQ4",missing=0.33%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
FINSOC2_2,family_social_background,Yes,"RQ3,RQ4",missing=0.3%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
FINSOC2_3,family_social_background,Yes,"RQ3,RQ4",missing=0.34%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
FINSOC2_4,family_social_background,Yes,"RQ3,RQ4",missing=0.3%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
FINSOC2_5,family_social_background,Yes,"RQ3,RQ4",missing=0.33%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
FINSOC2_6,family_social_background,Yes,"RQ3,RQ4",missing=0.34%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
FINSOC2_7,family_social_background,Yes,"RQ3,RQ4",missing=0.34%; unique=2; keep (missing <= 15%),checked by variable-family design,medium
EARNERS,family_social_background,Yes,"RQ3,RQ4",missing=1.22%; unique=3; keep (missing <= 15%),checked by variable-family design,medium
PPHHSIZE,family_social_background,Yes,"RQ3,RQ4",missing=0.0%; unique=5; keep (missing <= 15%),checked by variable-family design,medium
LIVINGARRANGEMENT,family_social_background,Yes,"RQ3,RQ4",missing=0.48%; unique=5; keep (missing <= 15%),checked by variable-family design,medium
MATERIALISM_1,psychological_values,Yes,"RQ1,RQ2,RQ3,RQ4",missing=2.71%; unique=5; keep (missing <= 15%),checked by variable-family design,high
MATERIALISM_2,psychological_values,Yes,"RQ1,RQ2,RQ3,RQ4",missing=2.6%; unique=5; keep (missing <= 15%),checked by variable-family design,high
MATERIALISM_3,psychological_values,Yes,"RQ1,RQ2,RQ3,RQ4",missing=2.69%; unique=5; keep (missing <= 15%),checked by variable-family design,high
CONNECT,psychological_values,Yes,"RQ1,RQ2,RQ3,RQ4",missing=7.44%; unique=72; keep (missing <= 15%),checked by variable-family design,high
OUTLOOK_1,psychological_values,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.24%; unique=5; keep (missing <= 15%),checked by variable-family design,high
OUTLOOK_2,psychological_values,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.3%; unique=5; keep (missing <= 15%),checked by variable-family design,high
agecat,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=8; keep (missing <= 15%),checked by variable-family design,high
PPINCIMP,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=9; keep (missing <= 15%),checked by variable-family design,high
PPEDUC,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=5; keep (missing <= 15%),checked by variable-family design,high
EMPLOY,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=1.81%; unique=8; keep (missing <= 15%),checked by variable-family design,high
PPGENDER,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=2; keep (missing <= 15%),checked by variable-family design,high
PPETHM,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=4; keep (missing <= 15%),checked by variable-family design,high
LMscore,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=4; keep (missing <= 15%),checked by variable-family design,high
KHscore,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=11; keep (missing <= 15%),checked by variable-family design,high
FSscore,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.13%; unique=76; keep (missing <= 15%),checked by variable-family design,high
finalwt,demographic_knowledge_controls,Yes,"RQ1,RQ3,RQ4",missing=0.0%; unique=3120; keep (missing <= 15%),checked by variable-family design,high
